gsm	slide_id	stellate_neighbor_bin	n_cells	mean_stellate_neighbors	median_primary_score_z	median_ecm_excluded_score_z	median_structural_ecm_score_z	median_hsc_context_score_z
GSM8855042	Slide1	Q1 lowest	12190	0.2482362592288761	-0.11840195420844404	-0.08142578644552498	-0.17065418665271206	-0.5555155070110299
GSM8855042	Slide1	Q2	12190	1.2162428219852337	-0.15774075069976048	-0.12409841359057903	-0.1711732897294254	-0.5555155070110299
GSM8855042	Slide1	Q3	12190	2.406890894175554	-0.1298060034590736	-0.1012113968642222	-0.16262588152298857	-0.5555155070110299
GSM8855042	Slide1	Q4 highest	12190	6.590812141099262	0.09070534385578621	0.03795594689872777	-0.07311911015838624	-0.5555155070110299
GSM8855043	Slide2	Q1 lowest	12749	0.24088163777551178	-0.24818308409697482	-0.1958230064909314	-0.30426989806342236	-0.61237486938697006
GSM8855043	Slide2	Q2	12749	1.39391324809789	-0.2185737470161829	-0.16123848511843608	-0.32024711914487836	-0.61237486938697006
GSM8855043	Slide2	Q3	12748	3.43551929714465	-0.16300940718302712	-0.13793298237233104	-0.28439440208125544	-0.61237486938697006
GSM8855043	Slide2	Q4 highest	12748	9.969171634766237	0.05604008367873788	0.01966142169853883	-0.06279130359052607	-0.61237486938697006
