gsm	slide_id	title	n_cells	n_qc_pass	qc_pass_fraction	median_total_count	median_n_feature	median_stellate_neighbors	mean_primary_score	mean_ecm_excluded_score	mean_hsc_context_score
GSM8855042	Slide1	MASLD CosMX Slide1 (Sample 1, Sample 2)	54921	48760	0.8878206878971614	166	93	2	0.4028927448733519	0.37295800904597887	0.30355353612947733
GSM8855043	Slide2	MASLD CosMX Slide2 (Sample 3, Sample 4)	52335	50994	0.9743766122098022	186	101	2	0.47976788865140385	0.42865255972078475	0.384168119794258
