score_name	donor_level_wilcox_p	interpretation_boundary
primary	NA	donor-level marker-gated stromal validation; not proof of HSC mechanical memory
ecm_excluded	NA	donor-level marker-gated stromal validation; not proof of HSC mechanical memory
structural_ecm	NA	donor-level marker-gated stromal validation; not proof of HSC mechanical memory
hsc_context	NA	donor-level marker-gated stromal validation; not proof of HSC mechanical memory
