accession	score_name	n_bootstrap_requested	n_bootstrap_success	beta_median	beta_q025	beta_q975	or_median	or_q025	or_q975	fraction_beta_positive	fraction_glm_converged
GSE130970	primary	2000	2000	1.81169682763379	0.900317498727348	3.20400062246265	6.12082464444362	2.46038415602568	24.6308983587977	1	1
GSE130970	ecm_excluded	2000	2000	1.81368307812558	0.955282093624206	3.11399867278187	6.13299550480914	2.59940574662423	22.511021436992	1	1
GSE162694	primary	2000	2000	2.22777423234727	1.54851870047004	3.55359212432474	9.27918979748718	4.70449740196359	34.9387075629969	1	1
GSE162694	ecm_excluded	2000	2000	2.14854316823431	1.46466008873327	3.38979851207807	8.57236125260268	4.32607489536786	29.6599764157428	1	1
