accession	n_random_sets	observed_beta	n_abs_beta_ge_observed	empirical_two_sided_p	empirical_two_sided_p_plus1	empirical_p_resolution	random_beta_median	random_beta_q025	random_beta_q975
GSE130970	10000	1.7081469447586723	60	0.006	0.006099390060993901	1e-4	-0.2597954834227356	-1.2858605842367787	0.9990473896144092
GSE135251	10000	1.0845308184846922	0	0	9.999000099990002e-5	1e-4	0.039891862228220616	-0.3459164744518716	0.5082954091023527
GSE162694	10000	2.1823952514807403	0	0	9.999000099990002e-5	1e-4	-0.5441589952324704	-1.3935109741245912	0.680894411234021
