accession	score_name	endpoint	model_type	n_model	n_advanced	n_non_advanced	effect_scale	estimate	conf_low	conf_high	beta	beta_se	p_value	convergence_note	p_fdr_within_endpoint_model
GSE135251	hsc_context	ordinal_fibrosis_stage	spearman	216	NA	NA	spearman_rho_with_fibrosis_stage	0.4782364657028349	NA	NA	NA	NA	9.601374383519313e-14	nonparametric_spearman	5.760824630111588e-13
GSE135251	hsc_context	NAS	spearman	216	NA	NA	spearman_rho_with_nas_score	0.4173434160328484	NA	NA	NA	NA	1.6355276103787353e-10	nonparametric_spearman	1.5674068153414668e-9
GSE162694	primary	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_base	143	20	123	OR_per_1SD_score	8.86752078380476	3.5219320515344195	22.326644495299377	2.1823952514807403	0.4711150684553548	3.6144423380016264e-6	glm_converged	7.228884676003253e-6
GSE162694	primary	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_adjusted_age_numeric_sex_binary	143	20	123	OR_per_1SD_score	8.754645337107473	3.2524863239676822	23.564684780915677	2.1695844551637005	0.5051860859915911	1.7498939574868565e-5	glm_converged	7.999740405361484e-5
GSE162694	primary	ordinal_fibrosis_stage	spearman	143	NA	NA	spearman_rho_with_fibrosis_stage	0.4889202462282029	NA	NA	NA	NA	5.807944914460624e-10	nonparametric_spearman	1.3939067794705497e-9
GSE162694	primary	NAS	spearman	117	NA	NA	spearman_rho_with_nas_score	0.45667453404546876	NA	NA	NA	NA	2.276297829607167e-7	nonparametric_spearman	4.552595659214334e-7
GSE162694	ecm_excluded	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_base	143	20	123	OR_per_1SD_score	8.186855912555227	3.331936097211709	20.115814882833202	2.102529930698119	0.4586614209618996	4.560406251392678e-6	glm_converged	7.817839288101733e-6
GSE162694	ecm_excluded	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_adjusted_age_numeric_sex_binary	143	20	123	OR_per_1SD_score	7.934110829885797	3.0080581828099433	20.92715992684256	2.071171290974381	0.49483497060427517	2.8443903038952703e-5	glm_converged	7.999740405361484e-5
GSE162694	ecm_excluded	ordinal_fibrosis_stage	spearman	143	NA	NA	spearman_rho_with_fibrosis_stage	0.4593411308065906	NA	NA	NA	NA	7.904445803204187e-9	nonparametric_spearman	1.3550478519778606e-8
GSE162694	ecm_excluded	NAS	spearman	117	NA	NA	spearman_rho_with_nas_score	0.3965276202782208	NA	NA	NA	NA	9.604675341191217e-6	nonparametric_spearman	1.4839580624622375e-5
GSE162694	structural_ecm	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_base	143	20	123	OR_per_1SD_score	5.026932350475404	2.37959042246809	10.619495110442703	1.614809927384043	0.38157221730104385	2.3163238733424276e-5	glm_converged	3.4744858100136416e-5
GSE162694	structural_ecm	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_adjusted_age_numeric_sex_binary	143	20	123	OR_per_1SD_score	5.4667786473811155	2.2711510230420044	13.158820561141244	1.6986895302292764	0.44816467787649444	1.5045064180328456e-4	glm_converged	3.009012836065691e-4
GSE162694	structural_ecm	ordinal_fibrosis_stage	spearman	143	NA	NA	spearman_rho_with_fibrosis_stage	0.45293497624621343	NA	NA	NA	NA	1.3475870674373248e-8	nonparametric_spearman	2.021380601155987e-8
GSE162694	structural_ecm	NAS	spearman	117	NA	NA	spearman_rho_with_nas_score	0.5336079599841602	NA	NA	NA	NA	5.838646843677741e-10	nonparametric_spearman	1.7515940531033225e-9
GSE162694	hsc_context	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_base	143	20	123	OR_per_1SD_score	7.325219382205191	3.230006810828208	16.61260862285176	1.9913231042437496	0.4177749277529915	1.8745615389338003e-6	glm_converged	5.623684616801401e-6
GSE162694	hsc_context	advanced_fibrosis_F3_F4_vs_F0_F2	logistic_adjusted_age_numeric_sex_binary	143	20	123	OR_per_1SD_score	11.030606438821144	3.5724039211691796	34.059496376417826	2.4006738126081575	0.5752219776287503	2.9999026520105568e-5	glm_converged	7.999740405361484e-5
GSE162694	hsc_context	ordinal_fibrosis_stage	spearman	143	NA	NA	spearman_rho_with_fibrosis_stage	0.47069204273447723	NA	NA	NA	NA	2.9885375996721562e-9	nonparametric_spearman	5.9770751993443125e-9
GSE162694	hsc_context	NAS	spearman	117	NA	NA	spearman_rho_with_nas_score	0.39600268515933135	NA	NA	NA	NA	9.89305374974825e-6	nonparametric_spearman	1.4839580624622375e-5
